cnpj_basico,cnpj_ordem,matriz_filial,nome_fantasia,situacao,data_situacao,data_inicio,uf,municipio_codigo
26792241,0001,1,ACADEMIA WORLD FITNESS,08,20181211,20170103,RN,1761
26792829,0001,1,FINISH LINE ASSESSORIA ESPORTIVA,08,20190606,20170103,RJ,6001
26794541,0001,1,PRISCILA MORAIS EDUCADORA FISICA,08,20200520,20170104,MG,4123
26797606,0001,1,ARBITROS SANTA RITA,08,20230814,20170104,MG,5191
22902694,0017,2,,02,20170104,20170104,RN,1761
26798821,0001,1,,04,20220208,20170104,RS,8801
26800721,0001,1,ACADEMIA NO LIMITE,04,20210407,20170104,BA,3747
26801816,0001,1,PERSONAL DELL,04,20210331,20170104,MG,2667
26802406,0001,1,,08,20191205,20170105,PR,7535
26812525,0001,1,IMPERIO FITNESS,04,20210224,20170106,CE,1389
26821537,0001,1,IDEAL FITNESS,02,20170109,20170109,MG,4225
26822492,0001,1,ACADEMIA UNIVERSITARIA,08,20180201,20170109,PR,7701
26827275,0001,1,YURI VAINER,08,20170811,20170109,PE,2531
26827559,0001,1,CORE STUDIO,02,20170109,20170109,RN,1759
26827702,0001,1,FOFUXOS,04,20210415,20170109,SP,6731
26829821,0001,1,,08,20180619,20170109,MG,4123
26831320,0001,1,FERNANDO FERNANDES - PERSONAL TRAINER,02,20170110,20170110,PR,7663
26836001,0001,1,RED JAVA NOVO HAMBURGO,08,20250522,20170110,RS,8771
26836273,0001,1,MARTINS,04,20210330,20170110,MG,4417
26836491,0001,1,EDNA PANTALEAO,08,20200701,20170110,SP,7107
26838489,0001,1,VIBE FITNESS,02,20241113,20170110,RN,1851
26844330,0001,1,MOVEMENT HEALTH,08,20171018,20170111,ES,5681
26846474,0001,1,,08,20170307,20170111,PR,7887
26846989,0001,1,ACADEMIA TOP VIDA,08,20170123,20170111,PR,5531
26848466,0001,1,PREMIUM FIGTHER FACTORY,04,20210406,20170111,SP,6213
26851853,0001,1,JOSI VIEIRA PERSONAL TRAINER,08,20210702,20170112,SP,6969
26854435,0001,1,ESTETIC FISIO,08,20181024,20170112,RJ,5819
26856301,0001,1,,08,20210204,20170112,MG,4111
26856673,0001,1,DIAS DE LAZER,08,20180522,20170112,BA,3849
26856714,0001,1,FRANCO RUSSO CONSULTORIA DE TREINAMENTO,08,20170320,20170112,SP,7107
26861551,0001,1,ACADEMIA BEM VIVER - PARA TODAS AS IDADES,04,20210304,20170113,RS,8599
26864734,0001,1,ADRIANO DE OLIVEIRA PINHEIRO,08,20200609,20170113,MS,9051
26869864,0001,1,NICE BODY PILATES,08,20171229,20170115,SC,8105
26870239,0001,1,PERSONAL HOME ASSESORIA ESPORTIVA,02,20250129,20170115,SP,7107
26870596,0001,1,,08,20220830,20170115,SP,6291
26870632,0001,1,FREEDOM ACADEMIA LTDA,08,20250515,20170115,MG,4591
26874182,0001,1,,08,20190215,20170116,RO,0003
26874294,0001,1,,08,20180903,20170116,SP,6717
26874659,0001,1,DANCE STUDIO DE DANCA E FITNESS,08,20230215,20170116,MG,0594
26878974,0001,1,ACADEMIA HIGH FITNESS SAUDE,02,20170116,20170116,BA,3515
26879844,0001,1,GEOVANI CRUZ PERSONAL TRAINER,02,20170116,20170116,SC,5537
26880726,0001,1,SURYA YOGA E TERAPIAS,04,20231101,20170116,SC,8105
26880949,0001,1,NATHALIA COELHO,08,20190522,20170116,MG,4123
26884744,0001,1,LULUZINHA,08,20210111,20170117,SP,6477
26888601,0001,1,MIRIAPERSONALTRAINER,04,20210324,20170117,SP,7077
26893210,0001,1,,04,20210226,20170118,SP,7107
26897887,0001,1,AFMC FITNEES,08,20230321,20170118,SP,7107
26902977,0001,1,ACADEMIA S5,02,20170118,20170118,RJ,6005
13994014,0002,2,EQUILIBRIUM FITNESS,02,20170119,20170119,PR,7481
26909316,0001,1,,08,20181120,20170119,MS,9051
26913358,0001,1,CAMARGO ACADEMIA,02,20170120,20170120,RJ,5875
26913438,0001,1,ACADENIA NATURALLIS,08,20190115,20170120,GO,9361
26916014,0001,1,LT FITNESS ACADEMIA,04,20210408,20170120,RJ,6005
26916963,0001,1,C3 ACADEMIA,02,20170120,20170120,PE,2345
26917919,0001,1,TABULEIRO FIGHT CLUB,08,20181008,20170120,CE,1563
26918916,0001,1,BOX CABRA DA PESTE,02,20170120,20170120,CE,1383
26920099,0001,1,MOVE TEAM,08,20190816,20170120,PE,2531
26920839,0001,1,CORE2LIFE,04,20210416,20170121,MG,4123
26921008,0001,1,,02,20251105,20170121,RJ,5897
26921747,0001,1,LL PERSONAL TRAINER E ARTIGOS ESPORTIVOS,08,20171130,20170121,SP,7183
26922207,0001,1,FERNANDO MOURA,04,20210224,20170121,CE,1389
26922421,0001,1,TREINO FISICO ESPECIFICO,08,20210329,20170122,RJ,6001
26923530,0001,1,LFO ASSESSORIA ESPORTIVA,02,20230529,20170122,SP,7107
26925799,0001,1,ESPACO FITNESS,08,20170808,20170123,SC,8253
26927088,0001,1,CAMILASOBRALPILATES,08,20240205,20170123,RJ,6001
26929297,0001,1,,04,20210330,20170123,MG,0582
26930322,0001,1,STUDIO BENXIMOL,02,20170123,20170123,AM,0255
26930965,0001,1,,04,20220610,20170123,SP,7045
26932139,0001,1,ROSE NORONHA PERSONAL,08,20180202,20170123,SC,8105
26934650,0001,1,A K PERSONAL,08,20230306,20170124,PB,2051
26942915,0001,1,FERNANDA SUDARIO ESTUDIO DE PILATES,08,20210212,20170124,MG,4959
26944761,0001,1,SAUDE&BEM-ESTAR,08,20200817,20170124,SP,6425
26946836,0001,1,TORAKAN ESCOLA DE TIGRE,04,20210409,20170125,PE,2357
26947548,0001,1,AR ESPORTES,08,20210507,20170125,MT,9033
26947725,0001,1,MG TRAINING E FITNESS,08,20181017,20170124,BA,3965
26949793,0001,1,,08,20230921,20170125,MG,4787
26954616,0001,1,EDUARDO SICHELERO,04,20210309,20170125,PR,7751
26956502,0001,1,,08,20210720,20170126,SP,6969
26958318,0001,1,,08,20210830,20170126,PR,7535
26960038,0001,1,APICE FITNESS,02,20170126,20170126,SP,7191
26960188,0001,1,ACADEMIA MAX FIT,08,20170710,20170126,BA,3873
26960969,0001,1,TRAININGP9,08,20180411,20170126,SP,7057
26962524,0001,1,BIG GYM ACADEMIA,08,20170818,20170126,SC,8179
26962587,0001,1,AV ESPACO FTINESS,02,20170126,20170126,PB,2119
26975580,0001,1,TREINADOR DESPORTIVO,08,20230503,20170128,PR,7733
26975657,0001,1,TAMARA ULSAN PERSONAL,02,20240924,20170128,SP,7107
26975905,0001,1,GUI MULLER PERSONAL TRAINER,08,20190107,20170128,SC,8105
26977976,0001,1,,04,20231113,20170130,SP,6875
26392433,0001,1,J S FITNESS,02,20231219,20161020,RN,1837
26979921,0001,1,AH PERSONAL,08,20220713,20170130,SP,7107
26982536,0001,1,NL ESPORTES,04,20231117,20170130,RS,8599
26984742,0001,1,STUDIO LIBRA,08,20230216,20170130,RJ,5925
26988633,0001,1,,08,20191009,20170131,DF,9701
26992193,0001,1,ESTUDIO PILATES BEM ESTAR,08,20170131,20170131,ES,5663
10997738,0002,2,QUALITY LIFE,08,20231003,20170131,MG,4723
26993852,0001,1,PROLONG LIFE,08,20210607,20170131,SP,7107
26994241,0001,1,IS ASSESSORIA ESPORTIVA,08,20171123,20170131,RJ,5865
